Vaccine,type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKAlgorithmVersion
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-12 15:33:11 +0000,2019-01-12 15:35:22 +0000,ms,55.4752197265625,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-12 15:36:36 +0000,2019-01-12 15:38:47 +0000,ms,72.1625747680664,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-13 02:02:15 +0000,2019-01-13 02:03:17 +0000,ms,73.17914581298830,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-13 04:08:36 +0000,2019-01-13 04:09:41 +0000,ms,78.8011703491211,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-13 06:01:03 +0000,2019-01-13 06:02:07 +0000,ms,22.13735580444340,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-13 08:01:04 +0000,2019-01-13 08:02:09 +0000,ms,53.41874694824220,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-13 10:01:01 +0000,2019-01-13 10:02:06 +0000,ms,66.87535095214840,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-13 12:01:02 +0000,2019-01-13 12:02:03 +0000,ms,44.090816497802700,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-13 14:01:05 +0000,2019-01-13 14:02:09 +0000,ms,35.78931427001950,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-14 00:24:25 +0000,2019-01-14 00:26:36 +0000,ms,32.32645797729490,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-14 00:39:08 +0000,2019-01-14 00:40:13 +0000,ms,20.811655044555700,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-14 00:45:41 +0000,2019-01-14 00:47:25 +0000,ms,46.363037109375,
