Device,Start_Date,Start_Time,End_Date,End_Time,0
HK Apple Watch,9/2/21,1:24:06,9/2/21,1:24:06,0
HK Apple Watch,9/2/21,1:29:25,9/2/21,1:29:25,0
HK Apple Watch,9/2/21,1:38:40,9/2/21,1:38:40,0
HK Apple Watch,9/2/21,1:43:17,9/2/21,1:43:17,0
HK Apple Watch,9/2/21,3:58:27,9/2/21,3:58:27,0
HK Apple Watch,9/2/21,2:26:48,9/2/21,2:26:48,0
HK Apple Watch,9/2/21,2:02:18,9/2/21,2:02:18,0
HK Apple Watch,9/2/21,4:04:37,9/2/21,4:04:37,0
HK Apple Watch,9/2/21,4:03:04,9/2/21,4:03:04,0
HK Apple Watch,9/2/21,4:54:17,9/2/21,4:54:17,0
HK Apple Watch,9/2/21,5:53:44,9/2/21,5:53:44,0
HK Apple Watch,9/2/21,4:27:13,9/2/21,4:27:13,0
HK Apple Watch,9/5/21,23:19:27,9/5/21,23:19:27,0
HK Apple Watch,9/5/21,23:20:59,9/5/21,23:20:59,0
HK Apple Watch,9/5/21,23:38:14,9/5/21,23:38:14,0
HK Apple Watch,9/5/21,23:46:46,9/5/21,23:46:46,0
HK Apple Watch,9/5/21,23:33:57,9/5/21,23:33:57,0
HK Apple Watch,9/5/21,23:49:30,9/5/21,23:49:30,0
HK Apple Watch,9/5/21,23:46:56,9/5/21,23:46:56,0
HK Apple Watch,9/5/21,23:54:47,9/5/21,23:54:47,0
HK Apple Watch,9/6/21,0:00:15,9/6/21,0:00:15,0
HK Apple Watch,9/6/21,0:03:40,9/6/21,0:03:40,0
HK Apple Watch,9/6/21,0:22:06,9/6/21,0:22:06,0
HK Apple Watch,9/6/21,0:05:53,9/6/21,0:05:53,0
HK Apple Watch,9/6/21,0:23:28,9/6/21,0:23:28,0
HK Apple Watch,9/6/21,0:35:46,9/6/21,0:35:46,0
HK Apple Watch,9/6/21,0:42:26,9/6/21,0:42:26,0
HK Apple Watch,9/6/21,1:17:46,9/6/21,1:17:46,0
HK Apple Watch,9/6/21,1:08:43,9/6/21,1:08:43,0
HK Apple Watch,9/6/21,1:25:27,9/6/21,1:25:27,0
HK Apple Watch,9/6/21,1:30:03,9/6/21,1:30:03,0
HK Apple Watch,9/6/21,1:27:30,9/6/21,1:27:30,0
HK Apple Watch,9/6/21,1:34:50,9/6/21,1:34:50,0
HK Apple Watch,9/6/21,1:43:53,9/6/21,1:43:53,0
HK Apple Watch,9/6/21,1:52:04,9/6/21,1:52:04,0
HK Apple Watch,9/6/21,1:48:50,9/6/21,1:48:50,0
HK Apple Watch,9/6/21,2:03:51,9/6/21,2:03:51,0
HK Apple Watch,9/6/21,2:11:42,9/6/21,2:11:42,0
HK Apple Watch,9/6/21,2:28:57,9/6/21,2:28:57,0
HK Apple Watch,9/6/21,2:16:09,9/6/21,2:16:09,0
HK Apple Watch,9/6/21,2:35:05,9/6/21,2:35:05,0
HK Apple Watch,9/6/21,2:54:13,9/6/21,2:54:13,0
HK Apple Watch,9/6/21,2:51:18,9/6/21,2:51:18,0
HK Apple Watch,9/6/21,2:37:49,9/6/21,2:37:49,0
HK Apple Watch,9/6/21,3:04:37,9/6/21,3:04:37,0
HK Apple Watch,9/6/21,3:14:01,9/6/21,3:14:01,0
HK Apple Watch,9/6/21,4:18:42,9/6/21,4:18:42,0
HK Apple Watch,9/6/21,4:43:37,9/6/21,4:43:37,0
HK Apple Watch,9/6/21,4:35:46,9/6/21,4:35:46,0
HK Apple Watch,9/6/21,4:45:10,9/6/21,4:45:10,0
HK Apple Watch,9/6/21,5:41:19,9/6/21,5:41:19,0
HK Apple Watch,9/6/21,5:53:36,9/6/21,5:53:36,0
HK Apple Watch,9/6/21,5:45:15,9/6/21,5:45:15,0
HK Apple Watch,9/6/21,4:55:14,9/6/21,4:55:14,0
HK Apple Watch,9/6/21,5:54:58,9/6/21,5:54:58,0
HK Apple Watch,9/6/21,22:16:33,9/6/21,22:16:33,0
HK Apple Watch,9/6/21,22:44:32,9/6/21,22:44:32,0
HK Apple Watch,9/7/21,2:09:12,9/7/21,2:09:12,0
HK Apple Watch,9/7/21,2:07:40,9/7/21,2:07:40,0
HK Apple Watch,9/7/21,2:36:20,9/7/21,2:36:20,0
HK Apple Watch,9/7/21,2:20:18,9/7/21,2:20:18,0
HK Apple Watch,9/7/21,2:55:48,9/7/21,2:55:48,0
HK Apple Watch,9/7/21,3:04:10,9/7/21,3:04:10,0
HK Apple Watch,9/7/21,3:04:20,9/7/21,3:04:20,0
HK Apple Watch,9/7/21,3:05:31,9/7/21,3:05:31,0
HK Apple Watch,9/7/21,3:07:45,9/7/21,3:07:45,0
HK Apple Watch,9/7/21,3:10:39,9/7/21,3:10:39,0
HK Apple Watch,9/7/21,3:27:43,9/7/21,3:27:43,0
HK Apple Watch,9/7/21,3:27:53,9/7/21,3:27:53,0
HK Apple Watch,9/7/21,5:20:12,9/7/21,5:20:12,0
HK Apple Watch,9/7/21,4:51:21,9/7/21,4:51:21,0
HK Apple Watch,9/7/21,22:08:19,9/7/21,22:08:19,0
HK Apple Watch,9/7/21,22:48:24,9/7/21,22:48:24,0
HK Apple Watch,9/7/21,23:20:37,9/7/21,23:20:37,0
HK Apple Watch,9/7/21,23:46:18,9/7/21,23:46:18,0
HK Apple Watch,9/7/21,23:26:26,9/7/21,23:26:26,0
HK Apple Watch,9/7/21,22:50:28,9/7/21,22:50:28,0
HK Apple Watch,9/8/21,1:12:59,9/8/21,1:12:59,0
HK Apple Watch,9/8/21,1:14:32,9/8/21,1:14:32,0
HK Apple Watch,9/8/21,1:17:06,9/8/21,1:17:06,0
HK Apple Watch,9/8/21,1:37:29,9/8/21,1:37:29,0
HK Apple Watch,9/8/21,1:18:28,9/8/21,1:18:28,0
HK Apple Watch,9/8/21,1:15:13,9/8/21,1:15:13,0
HK Apple Watch,9/8/21,2:03:52,9/8/21,2:03:52,0
HK Apple Watch,9/8/21,1:47:25,9/8/21,1:47:25,0
HK Apple Watch,9/8/21,2:07:07,9/8/21,2:07:07,0
HK Apple Watch,9/8/21,2:20:59,9/8/21,2:20:59,0
HK Apple Watch,9/8/21,2:25:37,9/8/21,2:25:37,0
HK Apple Watch,9/8/21,3:44:04,9/8/21,3:44:04,0
HK Apple Watch,9/8/21,2:29:33,9/8/21,2:29:33,0
HK Apple Watch,9/8/21,4:08:24,9/8/21,4:08:24,0
HK Apple Watch,9/8/21,4:09:46,9/8/21,4:09:46,0
